sentence,siebert_sentiment,cardiff_sentiment,source
"As you're all aware, one of our deposits was stolen.",-0.9983682036399841,-0.6399131417274475,E&SE_Asian
"A relatively small amount, 68 million.",0.9762232303619385,0.0,E&SE_Asian
Thanks to Mr. Maroni's well-placed sources we know that police have indeed identified our banks using marked bills and are planning to seize your funds today.,-0.9974802136421204,0.0,E&SE_Asian
"And since the enthusiastic new D A has put all my competitors out of business Moving all deposits to one secure location, not a bank.",0.9888572096824646,-0.5579567551612854,E&SE_Asian
"Where, then?",-0.9938554167747498,0.0,E&SE_Asian
No one can know But me.,0.9877443909645081,0.0,E&SE_Asian
If the police were to gain leverage over one of you everyone's money would be at stake.,-0.9981169700622559,-0.7951003313064575,E&SE_Asian
"I go to Hong Kong, far from Dent's jurisdiction and the Chinese will not extradite one of their own.",-0.9963992834091187,-0.6188669204711914,E&SE_Asian
I already have.,0.9480775594711304,0.0,E&SE_Asian
"For obvious reasons, I couldn't wait for your permission.",0.9877985119819641,0.7486315965652466,E&SE_Asian
"Rest assured, your money is safe.",0.998506486415863,0.6388664245605469,E&SE_Asian
"Welcome to Hong Kong, Mr. Fox.",0.9985709190368652,0.7243086099624634,E&SE_Asian
Mr. Lau regrets he is unable to greet you in person today.,-0.9987187385559082,-0.7372220158576965,E&SE_Asian
"For security purposes, I'm gonna have to ask you to check in your mobile.",-0.9974243640899658,0.0,E&SE_Asian
I must apologize for leaving Gotham in the middle of our negotiations.,-0.9975085258483887,-0.6636779308319092,E&SE_Asian
This misunderstanding with the Gotham police force I couldn't let it threaten my company.,-0.9953696131706238,-0.847672164440155,E&SE_Asian
Of course.,0.9943476319313049,0.0,E&SE_Asian
"A businessman of your stature will understand and with you here now, we can continue.",0.9985829591751099,0.8137879967689514,E&SE_Asian
We do not allow cell phones in here.,-0.9982969164848328,0.0,E&SE_Asian
"I think, Mr. Fox, a simple phone call might have sufficed.",-0.9991451501846313,0.0,E&SE_Asian
Just accidentally wasting it.,-0.9994722008705139,-0.7755500078201294,E&SE_Asian
"Hey, sir.",0.995425283908844,0.0,E&SE_Asian
The money is the only reason I'm still alive.,0.9873111248016357,0.8576254844665527,E&SE_Asian
Wait!,-0.9949746131896973,0.5733382105827332,E&SE_Asian
"I won't give you the money but I will give you my clients, all of them.",-0.9978106617927551,0.0,E&SE_Asian
I'm good with calculation.,0.9982374906539917,0.7724056243896484,E&SE_Asian
I handled all their investments.,0.9981306195259094,0.0,E&SE_Asian
One big pot.,-0.9863165020942688,0.0,E&SE_Asian
Ledgers?,-0.9881266355514526,0.0,E&SE_Asian
"Immunity, protection a chartered plane back to Hong Kong.",0.9985098242759705,0.0,E&SE_Asian
"Like I said, I'm good with calculation.",0.9981729984283447,0.6235647201538086,E&SE_Asian
You can't protect me.,-0.9993439316749573,-0.8254013657569885,E&SE_Asian
You can't even protect yourselves.,-0.9994747042655945,-0.9075963497161865,E&SE_Asian
Shut up!,-0.9976329803466797,0.0,E&SE_Asian
Absolutely.,0.9985396862030029,0.0,E&SE_Asian
I'm next.,0.9922050833702087,0.0,E&SE_Asian
"May I finish my Shuhua milk, Donny?",0.995265007019043,0.0,E&SE_Asian
I know who you are!,0.9934146404266357,0.0,E&SE_Asian
Witwicky!,0.9915731549263,0.0,E&SE_Asian
Witwicky!,0.9915731549263,0.0,E&SE_Asian
You know who I'm talking to you!,0.9743536114692688,0.0,E&SE_Asian
"Wow, wow, wow, slow down, tiger.",0.9924408197402954,0.46401140093803406,E&SE_Asian
"You showed up in the backgroundof six different photos, two continents, with aliens.",-0.9983376264572144,0.0,E&SE_Asian
"That was you in Egypt, uh, right?",-0.9562835097312927,0.0,E&SE_Asian
Because you know the aliens.,0.9743086099624634,0.0,E&SE_Asian
See you!,0.9969326257705688,0.7397786974906921,E&SE_Asian
"Hi, I'm Wang.",0.997420072555542,0.0,E&SE_Asian
Deep Wang.,0.9977521300315857,0.0,E&SE_Asian
Deep Wang.,0.9977521300315857,0.0,E&SE_Asian
You're not getting it.,-0.9995003938674927,-0.6171959638595581,E&SE_Asian
Deep Throat.,-0.9942680597305298,0.0,E&SE_Asian
Watergate?,-0.9893286824226379,0.0,E&SE_Asian
I'm talking code to you.,0.9787635207176208,0.0,E&SE_Asian
Damn it.,-0.9914267063140869,-0.7195465564727783,E&SE_Asian
They watch and listen.,0.9987484216690063,0.0,E&SE_Asian
